index,split,y,task,左源投影,右源投影,公共源投影,左右源差,归一选择指数,左模板误差,右模板误差,最佳时间偏移
200,train,-1,1,6.195230417978338,-1.3722604377670684,-3.3709210992194714,7.567490855745406,0.9999998678558207,89.49900551445475,90.24346396259831,0.0
201,train,-1,1,2.6087247448557243,0.34926640974848217,0.022635732483076258,2.259458335107242,0.76384865713397,28.067803269851357,30.680269460830978,0.0
202,train,1,1,-0.39152431906127955,3.673371218497477,0.5941367773462279,-4.0648955375587565,-0.9999997539912785,32.933664345262905,26.841720244864188,0.0
203,train,-1,1,-0.9457615357323559,-1.2938996505920257,4.193228001333235,0.34813811485966983,0.15544224347110855,70.45123199953952,70.60755362429461,0.0
204,train,1,1,14.475520382519925,13.062879493950282,-12.139895052899684,1.4126408885696424,0.05129712850453321,363.1442491057574,363.6126666089382,0.0
206,train,1,1,-0.2783666562975054,-0.6141666172434203,-0.41048006882556787,0.33579996094591485,0.376232006882722,14.586461087992744,14.586461087992744,-0.0390625
207,train,-1,1,-2.5845115594864003,3.981416742007718,-1.3713960116813262,-6.565928301494118,-0.9999998476986343,38.21829976587869,38.100227795435565,0.0
208,train,-1,1,0.609672777120769,-0.8381746592383639,-0.2969548486246596,1.4478474363591327,0.999999309319971,17.98024225160074,17.98024225160074,-0.0390625
209,train,-1,1,0.7207600972774514,0.6367299023066892,-0.6090390636642548,0.08403019497076214,0.06190110652409799,20.385466883438752,20.36635209923714,-0.0390625
210,train,1,1,1.3034207618382359,-2.394531694424407,1.9151785500033738,3.6979524562626427,0.999999729580155,34.900150022943265,36.95023161195232,0.0
211,train,-1,1,0.19301999658611202,0.5274727603974363,-0.531408868832791,-0.33445276381132427,-0.4641993918331219,15.832608672811087,15.731664042179581,-0.0390625
212,train,1,1,4.294950081465247,-3.131234824253963,1.71082253376459,7.42618490571921,0.9999998653413728,30.81388189496652,38.38118438540776,0.0390625
214,train,-1,1,-0.721507071009062,1.1632888162003352,-0.31744209736559126,-1.884795887209397,-0.9999994694388522,17.50546797593201,17.372902930879718,0.0
215,train,1,1,-0.7123388068399892,0.4679238016672556,0.6438407462022109,-1.1802626085072447,-0.9999991527316502,16.77383038414047,16.328623168522846,0.0390625
216,train,-1,1,0.9795157078808588,-4.741346644977452,3.746030112931015,5.720862352858311,0.9999998252012086,73.76265415540449,75.14231010793962,0.0390625
217,train,-1,1,-6.818702513159764,2.485437818351374,3.593364306568908,-9.304140331511137,-0.9999998925209792,79.06877382997219,77.73068699172596,0.0390625
218,train,1,1,5.242774105044542,-3.2864191227943285,4.726633258569472,8.52919322783887,0.9999998827556306,64.01154216337733,75.69330784403284,0.0
219,train,-1,1,-7.340632560665209,2.0814517071831653,5.3540260286835775,-9.422084267848374,-0.9999998938663819,110.38043559202539,108.31784309868002,0.0390625
220,train,1,1,-2.694205415709429,-0.5736229691370379,1.033046227900283,-2.120582446572391,-0.6489269165660626,42.32753626823952,42.32753626823952,0.0
