fold,scheme,false_positive_rate,true_positive_rate
A_to_B,erp,0.0,0.0
A_to_B,erp,0.013333333333333334,0.0
A_to_B,erp,0.013333333333333334,0.024691358024691357
A_to_B,erp,0.04,0.024691358024691357
A_to_B,erp,0.04,0.037037037037037035
A_to_B,erp,0.09333333333333334,0.037037037037037035
A_to_B,erp,0.09333333333333334,0.07407407407407407
A_to_B,erp,0.10666666666666667,0.07407407407407407
A_to_B,erp,0.10666666666666667,0.09876543209876543
A_to_B,erp,0.12,0.09876543209876543
A_to_B,erp,0.12,0.12345679012345678
A_to_B,erp,0.16,0.12345679012345678
A_to_B,erp,0.16,0.14814814814814814
A_to_B,erp,0.17333333333333334,0.14814814814814814
A_to_B,erp,0.17333333333333334,0.20987654320987653
A_to_B,erp,0.22666666666666666,0.20987654320987653
A_to_B,erp,0.22666666666666666,0.2222222222222222
A_to_B,erp,0.24,0.2222222222222222
A_to_B,erp,0.24,0.2716049382716049
A_to_B,erp,0.25333333333333335,0.2716049382716049
A_to_B,erp,0.25333333333333335,0.2962962962962963
A_to_B,erp,0.26666666666666666,0.2962962962962963
A_to_B,erp,0.26666666666666666,0.3333333333333333
A_to_B,erp,0.29333333333333333,0.3333333333333333
A_to_B,erp,0.29333333333333333,0.35802469135802467
A_to_B,erp,0.30666666666666664,0.35802469135802467
A_to_B,erp,0.30666666666666664,0.37037037037037035
A_to_B,erp,0.3333333333333333,0.37037037037037035
A_to_B,erp,0.3333333333333333,0.38271604938271603
A_to_B,erp,0.3466666666666667,0.38271604938271603
A_to_B,erp,0.3466666666666667,0.41975308641975306
A_to_B,erp,0.36,0.41975308641975306
A_to_B,erp,0.36,0.4444444444444444
A_to_B,erp,0.37333333333333335,0.4444444444444444
A_to_B,erp,0.37333333333333335,0.4691358024691358
A_to_B,erp,0.4,0.4691358024691358
A_to_B,erp,0.4,0.48148148148148145
A_to_B,erp,0.41333333333333333,0.48148148148148145
A_to_B,erp,0.41333333333333333,0.49382716049382713
A_to_B,erp,0.44,0.49382716049382713
A_to_B,erp,0.44,0.5185185185185185
A_to_B,erp,0.48,0.5185185185185185
A_to_B,erp,0.48,0.5925925925925926
A_to_B,erp,0.5066666666666667,0.5925925925925926
A_to_B,erp,0.5066666666666667,0.6049382716049383
A_to_B,erp,0.52,0.6049382716049383
A_to_B,erp,0.52,0.6296296296296297
A_to_B,erp,0.5333333333333333,0.6296296296296297
A_to_B,erp,0.5333333333333333,0.6790123456790124
A_to_B,erp,0.5733333333333334,0.6790123456790124
A_to_B,erp,0.5733333333333334,0.7160493827160493
A_to_B,erp,0.5866666666666667,0.7160493827160493
A_to_B,erp,0.5866666666666667,0.7283950617283951
A_to_B,erp,0.6133333333333333,0.7283950617283951
A_to_B,erp,0.6133333333333333,0.7654320987654321
A_to_B,erp,0.6533333333333333,0.7654320987654321
A_to_B,erp,0.6533333333333333,0.7901234567901234
A_to_B,erp,0.68,0.7901234567901234
A_to_B,erp,0.68,0.8024691358024691
A_to_B,erp,0.6933333333333334,0.8024691358024691
A_to_B,erp,0.6933333333333334,0.8148148148148148
A_to_B,erp,0.7333333333333333,0.8148148148148148
A_to_B,erp,0.7333333333333333,0.8518518518518519
A_to_B,erp,0.7733333333333333,0.8518518518518519
A_to_B,erp,0.7733333333333333,0.8641975308641975
A_to_B,erp,0.7866666666666666,0.8641975308641975
A_to_B,erp,0.7866666666666666,0.8765432098765432
A_to_B,erp,0.8133333333333334,0.8765432098765432
A_to_B,erp,0.8133333333333334,0.8888888888888888
A_to_B,erp,0.8266666666666667,0.8888888888888888
A_to_B,erp,0.8266666666666667,0.9012345679012346
