scope,task,direction,channel,rmse,nrmse,r2,pearson,window_rmse,late_rmse,peak_amplitude_error,peak_latency_error_ms,observed_peak_at_boundary,predicted_peak_at_boundary
train_A,1,-1,F3,13.34061117356993,0.3120951676567586,-0.034368603037236545,0.9417862973395684,9.98135555705503,18.03798740880881,6.224859736249513,-31.25,False,True
train_A,1,-1,Fz,5.689630006000756,0.2101840349639899,0.21541179249110787,0.5652109270270719,3.717558541683366,8.54813922323297,-4.136975122910813,167.96875,False,True
train_A,1,-1,F4,11.365378263072792,0.28178684103921975,0.07551908275641006,0.899692737684842,8.331474677650212,14.493671174218052,6.858976181129215,-82.03125,False,True
train_A,1,1,F3,8.99374370571151,0.3478434342430344,-0.45946231088620215,0.7833871095720424,10.401676728979082,10.840520107511187,-8.386193973211938,-66.40625,False,True
train_A,1,1,Fz,5.711730057760187,0.20320703921393382,0.1378959873429958,0.4386798612187794,3.554378786221555,8.466782504982008,-2.560807182038041,140.625,False,True
train_A,1,1,F4,14.241001727131406,0.46717147938452885,-1.590470924673535,0.7266638308695905,16.74332501773593,15.518575958092436,-16.190808715252263,-74.21875,False,True
train_A,2,-1,F3,23.374214805878214,0.2150903524025588,0.6486108332592757,0.9530332882843413,24.90886778789493,26.693024750812523,37.46277269149216,0.0,True,True
train_A,2,-1,Fz,15.998694685558936,0.1392066213570335,0.855471529848546,0.9296477031895082,19.399674425432785,18.587137939950814,24.26315889859059,0.0,True,True
train_A,2,-1,F4,18.625285610867625,0.12174857664444773,0.879960162226765,0.9451142047478419,18.754907742239926,17.414575072118602,29.077683557238018,0.0,True,True
train_A,2,1,F3,26.05353999528725,0.1646081693924827,0.7651341114421331,0.9670089673825203,17.52611418492748,27.199261951088936,1.4947798906236471,0.0,True,True
train_A,2,1,Fz,17.87490601971923,0.1504628956899582,0.8222581538325122,0.910414932922599,21.218481090327373,21.36981044493919,31.668502627502576,0.0,True,True
train_A,2,1,F4,22.338792560809516,0.12731269610064946,0.8603079113963867,0.9389520624109571,18.25752258032815,27.605896355703596,31.09914350571499,0.0,True,True
heldout_B,1,-1,F3,35.383265133491875,0.7409845055375444,-3.856869590927012,-0.5839319374119071,21.160950189384366,54.31441069121217,-18.34560590678338,-113.28125,False,True
heldout_B,1,-1,Fz,6.791523182857766,0.2392999713443253,0.27006149803345336,0.697851866595331,7.36128655207247,7.339833518098307,1.7487903506842533,144.53125,False,True
heldout_B,1,-1,F4,62.093097415797764,0.8542048101859621,-7.320747665124733,-0.8170519764850261,51.634740476402804,87.70699907277576,-49.6235195986019,-250.0,True,True
heldout_B,1,1,F3,9.35056710150207,0.3502902233537829,-0.48101409048387533,0.61313333059989,3.951536200740926,14.699402286283764,-2.372488778493402,-31.25,False,True
heldout_B,1,1,Fz,23.103937739749277,0.46148054605190897,-1.1995104115245456,0.8683887089288933,14.156654081002122,34.68324279626231,-16.825480882275226,171.875,False,True
heldout_B,1,1,F4,17.375325378750663,0.46160722120952413,-2.25003349192145,0.11346085081173303,9.233686126193813,26.949511581828993,-9.392653110983503,-78.125,False,True
heldout_B,2,-1,F3,104.47644351989011,1.929657653532239,-50.3704126298542,0.0877034769292517,100.73806473120209,142.54326088679605,121.46794607544237,203.125,False,True
heldout_B,2,-1,Fz,37.62515021912151,0.441048164083139,-0.7382211248022597,0.7878243932650837,51.5731599360184,38.49712837068559,61.09038649911758,0.0,True,True
heldout_B,2,-1,F4,72.99733235855517,0.7574159482664498,-5.2685011409400175,0.6880789922547026,83.64531368949818,91.0787971915163,105.78164624320081,203.125,False,True
heldout_B,2,1,F3,20.171902598706104,0.1620249372065755,0.7996204082355973,0.9457099872432362,25.189534271886792,19.725160066997013,39.60634147805748,0.0,True,True
heldout_B,2,1,Fz,24.468517058557065,0.17687310079449603,0.7668545964659899,0.9138595472021336,17.53712677062783,36.28038351984224,22.42358288990816,0.0,True,True
heldout_B,2,1,F4,31.916853227082573,0.15978604953494718,0.8001006088075526,0.9415417595371148,14.817706114934166,48.13637935103856,20.9755353578972,0.0,True,True
