index,split,y,task,左源投影,右源投影,公共源投影,左右源差,归一选择指数,左模板误差,右模板误差,最佳时间偏移
0,train,-1,1,-5.38177864601886,9.028769304380589,6.459014635225289,-14.41054795039945,-0.999999930606391,50.21740568218285,49.68151110849066,0.0
3,train,-1,1,1.2045524288770573,7.412209849934883,-2.122430531954256,-6.207657421057826,-0.7204163814412834,35.795630660346525,33.59324155995918,0.0
4,train,1,1,-1.3627158536061794,6.368609598612936,-3.0840962850214138,-7.7313254522191155,-0.9999998706560891,34.033578667612346,32.19573618168453,0.0
5,train,-1,1,13.896144274191176,4.336704051485129,-6.552508113310695,9.559440222706048,0.5242976592388126,73.87531118552558,77.28607115878062,0.0
6,train,-1,1,2.4911996436424566,-1.3455999369869422,0.8752239151500524,3.836799580629399,0.9999997393661778,15.723390628715979,15.994180214632852,-0.0390625
7,train,-1,1,-4.800627051052346,2.894892426190587,1.1837097735287905,-7.695519477242932,-0.9999998700542734,42.14411461842499,42.14411461842499,0.0
8,train,1,1,1.7446091776822927,-1.5020489577923808,0.6937391051446441,3.2466581354746733,0.999999691991072,12.438856515637136,12.443230331996704,0.0
9,train,1,1,-2.8046008511671867,1.1830559109120986,0.5272781360236551,-3.9876567620792853,-0.9999997492262226,30.231845823361787,30.231845823361787,0.0
10,train,1,1,0.16165227113095942,8.282196867084982,-5.710500317748146,-8.120544595954023,-0.9617111226549755,50.68203434440726,48.66782654807632,0.0390625
11,train,1,1,-3.48429334344729,2.609986698190784,-0.28611053791169244,-6.094280041638074,-0.9999998359117354,22.899467279262723,22.899467279262723,0.0
12,train,-1,1,-1.227257090177857,-0.06026687585954636,-0.14661571683208846,-1.1669902143183106,-0.9063825907080771,20.771631300343024,20.771631300343024,0.0
15,train,-1,1,4.757222567826906,-1.3953485295541175,0.1571491224874584,6.152571097381023,0.9999998374663499,21.257868520315125,22.482059471535273,0.0
16,train,1,1,-1.4961062955244255,-0.28867307381337604,1.732419471833307,-1.2074332217110495,-0.6765164176245605,36.09858116874008,36.09858116874008,0.0390625
17,train,-1,1,-0.0772060911435965,0.7526021876752628,0.2613353857847237,-0.8298082788188592,-0.9999987949038104,9.537000430042738,9.469823351282772,0.0
18,train,-1,1,-2.785565488087811,1.3622431651194296,-3.157201549143042,-4.147808653207241,-0.999999758908898,40.402105914065196,40.402105914065196,0.0390625
20,train,-1,1,-2.814056459890595,2.8967680638613755,3.3937145841125638,-5.71082452375197,-0.9999998248939674,27.555112329367375,27.555112329367375,0.0390625
22,train,1,1,-8.559161364183316,-4.923820353663386,6.32063868189331,-3.63534101051993,-0.26962439147148237,232.48087313281255,232.48087313281255,0.0390625
23,train,-1,1,-0.6151128802058728,-0.45665567244183236,-0.14511787944346466,-0.1584572077640405,-0.14784634194224586,28.636055247773612,28.636055247773612,-0.0390625
24,train,-1,1,18.707339568847086,-9.190289819363532,-0.08561403110416814,27.897629388210618,0.9999999641546616,80.85368386201309,85.0761302833439,0.0
25,train,1,1,-0.32845545569092727,-0.00399672111612556,-1.71246112291065,-0.32445873457480173,-0.9759531784023504,27.181472052267647,27.17794208534416,0.0390625
27,train,-1,1,-0.24832274043751595,-3.127394177043875,-14.130155479662097,2.879071436606359,0.8528767826532205,70.48691635930707,70.55460726572754,0.0390625
28,train,-1,1,-4.821682683377434,1.3552219055544132,2.3539022024197815,-6.176904588931847,-0.9999998381066401,68.48122809639001,68.48122809639001,0.0
29,train,-1,1,-1.4924494538147342,1.9420126193052987,0.053493092306816314,-3.4344620731200326,-0.9999997088336724,14.776649314754785,14.656793773127626,0.0390625
30,train,-1,1,5.949213743337988,-3.1528872516970647,0.14384592083735306,9.102100995035052,0.9999998901352677,28.246386337268067,29.387726347471972,0.0
31,train,1,1,-1.5249518032325127,2.3828648814921514,-0.9295317573775413,-3.907816684724664,-0.9999997441026985,18.655473425663214,18.361282322995994,0.0390625
32,train,1,1,0.027018095465538124,-0.3478629916883174,-0.9198521976855585,0.37488108715385554,0.9999973324945783,9.833306645427664,9.833306645427664,0.0390625
33,train,-1,1,0.21336206412268444,0.6783317472906821,-1.7213325334377905,-0.4649696831679977,-0.5214448679262863,18.005790830631135,17.955247161471885,0.0
34,train,1,1,0.2578124655605005,0.6517352665212637,-0.9919973387487573,-0.39392280096076315,-0.43309697113112056,12.20435157074444,12.156789066288768,0.0390625
36,train,-1,1,-0.8858080049054228,0.9559146647970354,1.0269413598144974,-1.8417226697024582,-0.9999994570303806,16.035037201766507,16.035037201766507,0.0390625
37,train,-1,1,-3.38157384855101,4.082401652669526,-0.055223968592760304,-7.463975501220537,-0.999999866023158,22.28930723157913,21.970066192970087,0.0
41,train,1,1,-8.763071253405966,3.576769219856349,-6.152176499759836,-12.339840473262315,-0.9999999189616818,60.941985847684066,60.941985847684066,0.0
42,train,-1,1,0.03467090896585944,0.892949115051453,6.206540547015956,-0.8582782060855936,-0.9252466081122103,39.12196188512412,39.12196188512412,0.0390625
43,train,1,1,-2.2814359997482168,1.3785020101913295,0.8723138802677409,-3.6599380099395464,-0.9999997267714031,27.596774411595966,27.596774411595966,0.0
44,train,-1,1,-4.675227684942053,10.450705198397618,-0.8446174122402558,-15.12593288333967,-0.9999999338883796,46.609026411099975,43.975710144450915,0.0
46,train,-1,1,0.5498960599747964,0.34710767983586416,0.6321995907908337,0.20278838013893224,0.22607280780003097,9.478633294637698,9.4975297893801,0.0
47,train,1,1,1.5999512699722411,-0.34442070328099,3.430436770719885,1.9443719732532312,0.9999994856953817,22.832929897601677,22.864188383510857,0.0390625
48,train,-1,1,-2.4160085779000733,0.5237078271612366,0.5642899400748542,-2.93971640506131,-0.9999996598312483,31.672765332871563,31.672765332871563,0.0390625
49,train,-1,1,6.578175344726927,-5.069697632272927,0.38747028260946964,11.647872976999853,0.9999999141474228,35.55860666917236,36.12816868082754,0.0
50,train,1,1,-9.564920049358713,1.4262342864999538,-3.940964090966127,-10.991154335858667,-0.9999999090177539,114.81360868917827,114.81360868917827,-0.0390625
54,train,1,1,1.3978873517497865,-2.963173825881664,0.8096159138911362,4.36106117763145,0.999999770698064,33.584958200262406,33.584958200262406,0.0
55,train,-1,1,2.9405023926051475,-7.531237240102428,1.1963545021397728,10.471739632707575,0.9999999045048923,80.87585377298177,80.87585377298177,0.0
56,train,-1,1,-0.11686263611478173,1.882418936836856,7.884613553246367,-1.9992815729516378,-0.9999994998205789,41.012153980048716,41.012153980048716,0.0390625
57,train,1,1,0.08819942560020196,1.5595561651064271,3.4674653231358517,-1.4713567395062253,-0.89294544340147,20.902330588065215,20.84702250735689,0.0390625
58,train,1,1,-0.5612885868048009,1.6028440096501222,5.838134699844041,-2.164132596454923,-0.9999995379213179,37.95162510635452,37.95162510635452,0.0390625
59,train,-1,1,3.9312016665668703,5.611336479062412,6.292424655088697,-1.6801348124955413,-0.17606789837116724,33.584963103251944,33.14113481037511,0.0390625
60,train,1,1,-1.3865359392203385,-0.17204695064961414,-0.18563192610877463,-1.2144889885707244,-0.7792259348144942,26.34703584387551,26.34703584387551,0.0
61,train,-1,1,-0.06278667711806812,2.7564352464953785,4.43008116690076,-2.819221923613447,-0.999999645292328,29.136229568569906,28.97132959740921,0.0
62,train,1,1,6.450378669961107,2.2762498146214947,-1.866642612522101,4.174128855339612,0.47832085259424334,35.35482485047177,36.64396574385838,0.0390625
63,train,1,1,6.7493582415589,4.823562668664873,0.9770733257939498,1.9257955728940273,0.16640530263949482,35.36659251739105,36.08163418729254,0.0390625
64,train,-1,1,1.7498596569214115,0.4847494046520035,1.805946480404767,1.265110252269408,0.5661436301681327,10.728295259448402,10.953548230684913,0.0390625
65,train,1,1,5.378221439191782,-4.885018192498018,-3.1384577820021975,10.2632396316898,0.9999999025648881,41.947607701409666,42.39710048484937,0.0390625
66,train,-1,1,1.7449353813598156,2.4013931966638196,1.544484526838196,-0.6564578153040039,-0.15832263281321388,11.611623507396938,11.340033251396552,0.0
67,train,-1,1,0.3733566557824367,-0.1689727075862297,1.3616839551202737,0.5423293633686664,0.9999981561054524,27.053897343953338,27.053897343953338,0.0390625
68,train,1,1,-0.8702664258750114,1.6081111868290556,3.3977652612349023,-2.478377612704067,-0.9999995965103979,27.710114551892083,27.710114551892083,0.0390625
69,train,1,1,-2.109510779680368,-0.17658803604453255,1.0954186021937584,-1.9329227436358356,-0.845511088509897,39.866757698319276,39.866757698319276,0.0390625
70,train,-1,1,0.8011436587629288,0.9470320125892101,-0.3548103937099973,-0.1458883538262813,-0.0834517221382682,21.568294913821745,21.55123024014296,-0.0390625
71,train,1,1,3.2104992962799592,0.2836193630792804,-0.007277211882104242,2.926879933200679,0.8376587577248048,15.812957813334375,16.564503719760957,0.0390625
73,train,1,1,10.377069415213187,-0.6896863973576799,-1.3506359663888403,11.066755812570866,0.9999999096392903,42.37500388923876,45.413917305335474,0.0390625
74,train,-1,1,5.709477358978198,-3.5569690350543226,3.373827126464973,9.26644639403252,0.9999998920837775,30.819313007784924,31.21699355562346,0.0
75,train,1,1,3.5935113327647445,1.6879102907707162,0.7122331096961504,1.9056010419940284,0.360812072395447,15.90812146567782,16.683402202157325,0.0
78,train,-1,1,-0.050222870944473995,-0.7674604008882246,0.22624897934263638,0.7172375299437507,0.8771570576210133,15.723471884993272,15.723471884993272,0.0
79,train,-1,1,-1.346813692093866,1.1630844490335701,1.9923724193778245,-2.509898141127436,-0.9999996015776157,23.456237957413705,23.456237957413705,0.0390625
80,train,-1,1,1.7723770229686513,-0.13818819354810793,6.962965928685672,1.9105652165167593,0.9999994765949533,37.6311111726908,37.6311111726908,0.0390625
81,train,1,1,0.8691316194720082,-1.2256373638842468,-0.708168165558886,2.0947689833562553,0.999999522620618,13.209809017839481,13.209809017839481,0.0390625
82,train,-1,1,1.120703291841743,-4.535660986191668,-0.5527182935853999,5.656364278033411,0.999999823208023,55.19925340328726,55.19925340328726,0.0
83,train,1,1,12.612905468490386,-0.29013463886675045,0.8555523357682621,12.903040107357135,0.9999999224988907,46.317188555157685,50.53043971216558,0.0
84,train,-1,1,-5.7811530336387955,12.565222108421159,-1.564836715129766,-18.346375142059955,-0.9999999454933228,58.35812246272026,55.55979649797487,0.0390625
