method,outer_auc,outer_split_half,baseline_residual_std,primary_statistic,valid_trials,selected_folds,decision
B1,0.5296179376179376,0.3520187308924938,55.53433324434842,-0.39760959092070597,400,7,selected_conservative
B2,0.5085459656084657,0.46436594556485783,12.860917525204817,-0.5471097096604988,201,11,candidate
B3,0.4938096903096903,0.35671857316061056,51.40532609364036,-0.16652961976322173,390,0,candidate
B4,0.5003594183594184,0.16875317776482898,38.90370389050395,0.315409266359434,390,2,rejected_by_D1
