scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.5122476073762838,0.5079131652661064,0.49000277194211017,0.07212750740056777
erp,0.0,8,logistic,0.1,0.5189571661998132,0.5154761904761904,0.48884512138188607,0.061443948681167836
erp,0.0,8,logistic,1.0,0.4677666900093371,0.46820728291316527,0.45841795051353873,0.0758815111825652
erp,0.0,8,logistic,10.0,0.44882994864612513,0.4509453781512605,0.43903988678804856,0.05795959061006034
erp,0.0,8,svm,0.01,0.5341226073762839,0.531547619047619,0.49047910830999064,0.06587807852594389
erp,0.0,8,svm,0.1,0.4615166900093371,0.4608543417366947,0.4601278011204482,0.0870598234465991
erp,0.0,8,svm,1.0,0.4592466153127918,0.4598739495798319,0.44308765172735765,0.06592933096349024
erp,0.0,8,svm,10.0,0.46271883753501397,0.4652310924369748,0.45025458099906635,0.06581490109890867
erp,0.0,8,lda,0.1,0.47471113445378155,0.4753501400560224,0.470577293417367,0.07530143838909306
erp,0.0,8,lda,0.5,0.5267696661998132,0.5244047619047619,0.4915222338935574,0.07468389044524852
erp,0.0,8,lda,0.9,0.5033321661998134,0.49978991596638656,0.4838629201680673,0.06664589787455638
erp,0.0,15,logistic,0.01,0.5238795518207283,0.5214285714285714,0.4793716444911298,0.04913518662291743
erp,0.0,15,logistic,0.1,0.5278857376283848,0.5238095238095238,0.474234798085901,0.06781967217275582
erp,0.0,15,logistic,1.0,0.48563550420168067,0.4898459383753501,0.4475592320261438,0.07043647868564107
erp,0.0,15,logistic,10.0,0.4713381185807657,0.47556022408963583,0.4419672035480859,0.06969580081199636
erp,0.0,15,svm,0.01,0.5352386788048553,0.530952380952381,0.4761664040616247,0.057791538466727264
erp,0.0,15,svm,0.1,0.4872111344537815,0.49005602240896357,0.4529462826797386,0.05228295041003733
erp,0.0,15,svm,1.0,0.47203256302521013,0.4753501400560224,0.45877246732026145,0.080388111062377
erp,0.0,15,svm,10.0,0.4906833566760037,0.49184173669467784,0.4574660072362278,0.06575874565647945
erp,0.0,15,lda,0.1,0.4872111344537815,0.49005602240896357,0.4656279178338002,0.05228295041003733
erp,0.0,15,lda,0.5,0.5252071661998132,0.5228291316526611,0.48227343020541547,0.05862665461175208
erp,0.0,15,lda,0.9,0.5134628851540616,0.5125,0.47569298552754435,0.030123886858922363
source,1e-05,6,logistic,0.01,0.5110833916900094,0.5070028011204482,0.49281848155929037,0.13742437932924134
source,1e-05,6,logistic,0.1,0.5140099789915966,0.5052170868347339,0.4962009803921569,0.12424287108147325
source,1e-05,6,logistic,1.0,0.5040018090569561,0.4962885154061625,0.49296291433239964,0.1198997566381618
source,1e-05,6,logistic,10.0,0.5129303804855275,0.5052170868347339,0.4938572303921569,0.12185058021160151
source,1e-05,6,svm,0.01,0.5148780345471522,0.5064075630252101,0.49199711134453783,0.13336235232863364
source,1e-05,6,svm,0.1,0.5040018090569561,0.4962885154061625,0.4948959792250234,0.1198997566381618
source,1e-05,6,svm,1.0,0.5129303804855275,0.5052170868347339,0.4961608601774043,0.12185058021160151
source,1e-05,6,svm,10.0,0.5233470471521942,0.5141456582633053,0.4990641048085901,0.12794207165444782
source,1e-05,6,lda,0.1,0.5133024042950514,0.505812324929972,0.4901756535947713,0.134594186070468
source,1e-05,6,lda,0.5,0.5296349789915966,0.5224789915966387,0.49273824112978526,0.12581376868180094
source,1e-05,6,lda,0.9,0.5032708916900094,0.49866946778711485,0.48976642740429505,0.14179052250279886
source,1e-05,12,logistic,0.01,0.5076461834733894,0.5032212885154062,0.5387809290382819,0.11449047415269481
source,1e-05,12,logistic,0.1,0.5368624533146592,0.5284313725490196,0.5278251925770308,0.10488433904384135
source,1e-05,12,logistic,1.0,0.5165134803921568,0.5079481792717087,0.5051550828664799,0.09519229287242076
