mode,split,space,fisher_trace_ratio,squared_mahalanobis,gaussian_plugin_accuracy
cross,test,scalp,0.08604652200640076,0.1547879471212075,0.5763957417025473
cross,test,source,0.08114845767605636,0.15478794712120753,0.5763957417025474
cross,train,scalp,0.047682227956600126,0.12828561279230927,0.5695658255335798
cross,train,source,0.03995670671083998,0.12828561279230927,0.5695658255335798
within,test,scalp,0.24928433213302886,0.7536719177783977,0.6573718115970335
within,test,source,0.26061412151939345,0.7536719177783942,0.657371811597033
within,train,scalp,0.056377128833190716,0.15707393989723956,0.5741973982508609
within,train,source,0.06616128152109091,0.15707393989723287,0.5741973982508596
