scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.5574197860962566,0.5496524168399168,0.5836449281417113,0.0805330804091913
erp,0.0,8,logistic,0.1,0.5481394830659536,0.5403293918918919,0.5606426164215687,0.06380711000528769
erp,0.0,8,logistic,1.0,0.4982341800356506,0.49376299376299376,0.5224755598262032,0.05296591986049382
erp,0.0,8,logistic,10.0,0.4842942290552585,0.479193737006237,0.5171572108957219,0.04096804378093352
erp,0.0,8,svm,0.01,0.5403269830659536,0.5325168918918919,0.5644120432263815,0.05209824510257126
erp,0.0,8,svm,0.1,0.5139204545454545,0.5093879937629937,0.5217848289884135,0.034012329752776266
erp,0.0,8,svm,1.0,0.4842942290552585,0.479193737006237,0.5183381378119429,0.04096804378093352
erp,0.0,8,svm,10.0,0.4764817290552585,0.471381237006237,0.5271947415329769,0.030729074314418226
erp,0.0,8,lda,0.1,0.5054645721925134,0.5005197505197505,0.5310794061942958,0.0546405824455324
erp,0.0,8,lda,0.5,0.5403269830659536,0.5325168918918919,0.5738963625222816,0.05209824510257126
erp,0.0,8,lda,0.9,0.5792947860962567,0.5720341735966736,0.5895718443627451,0.06521950161156281
erp,0.0,15,logistic,0.01,0.5403882575757576,0.5314611486486487,0.5754383216354724,0.037694934715145546
erp,0.0,15,logistic,0.1,0.5274008467023172,0.5218457640332641,0.5616160455659537,0.05754214242501265
erp,0.0,15,logistic,1.0,0.48089070855614974,0.47498700623700624,0.5199852384135473,0.06490989565693689
erp,0.0,15,logistic,10.0,0.47908589572192517,0.4760427494802495,0.4969658673128342,0.0511083035431061
erp,0.0,15,svm,0.01,0.5274008467023172,0.5218457640332641,0.5662130264037433,0.05754214242501265
erp,0.0,15,svm,0.1,0.48089070855614974,0.47498700623700624,0.5236094864081997,0.06490989565693689
erp,0.0,15,svm,1.0,0.47173295454545455,0.4692859927234927,0.48953145889037436,0.055769908672002357
erp,0.0,15,svm,10.0,0.4910650623885918,0.489556262993763,0.4812994373885918,0.0656930815961584
erp,0.0,15,lda,0.1,0.5023061497326203,0.497368762993763,0.5255142184714795,0.052666034404559095
erp,0.0,15,lda,0.5,0.5366811497326203,0.5286025207900208,0.5734545593805704,0.06440600780591098
erp,0.0,15,lda,0.9,0.5512644830659537,0.5431880197505198,0.5705478498217469,0.013639098506231899
source,1e-05,6,logistic,0.01,0.5383049242424243,0.5368698024948025,0.5457466438279858,0.09957443859140518
source,1e-05,6,logistic,0.1,0.5460840017825312,0.5397284303534303,0.5332880737522282,0.12642832139516347
source,1e-05,6,logistic,1.0,0.5263870320855615,0.520497661122661,0.5016258634135472,0.10356092744312832
source,1e-05,6,logistic,10.0,0.503347816399287,0.497368762993763,0.49487835617201426,0.09013142377844083
source,1e-05,6,svm,0.01,0.5449810606060606,0.5397284303534303,0.5314870905748663,0.12612796903815007
source,1e-05,6,svm,0.1,0.5263870320855615,0.520497661122661,0.5006454712566845,0.10356092744312832
source,1e-05,6,svm,1.0,0.503347816399287,0.497368762993763,0.49540928587344024,0.09013142377844083
source,1e-05,6,svm,10.0,0.503347816399287,0.497368762993763,0.49213388480392156,0.09013142377844083
source,1e-05,6,lda,0.1,0.5460840017825312,0.5397284303534303,0.5076342468805704,0.12642832139516347
source,1e-05,6,lda,0.5,0.5684798351158645,0.5642216735966736,0.5425380876782531,0.08896454068917206
source,1e-05,6,lda,0.9,0.5226186497326203,0.520497661122661,0.5459433489304812,0.08481418867678571
source,1e-05,12,logistic,0.01,0.531600935828877,0.5325168918918919,0.5258299910873441,0.03201659158491531
source,1e-05,12,logistic,0.1,0.5400233957219251,0.538981288981289,0.5088412850935828,0.07659182141148112
source,1e-05,12,logistic,1.0,0.5269078654188949,0.523356288981289,0.47640374331550805,0.09419370806116117
source,1e-05,12,logistic,10.0,0.5122019830659537,0.5087870322245323,0.47458361185383247,0.10617580393210382
source,1e-05,12,svm,0.01,0.5473763368983957,0.5449909043659044,0.5110356784759358,0.03686759031350918
source,1e-05,12,svm,0.1,0.5269078654188948,0.5223005457380457,0.47777754567736186,0.11061891959626169
source,1e-05,12,svm,1.0,0.5122019830659537,0.5087870322245323,0.4775171290106952,0.10617580393210382
source,1e-05,12,svm,10.0,0.49250501336898395,0.489556262993763,0.47448682598039216,0.08137503592612227
source,1e-05,12,lda,0.1,0.5081912878787879,0.5059284043659044,0.48706133021390374,0.09326942742678283
source,1e-05,12,lda,0.5,0.5300662878787878,0.528618762993763,0.5135865780971479,0.05531301916367836
source,1e-05,12,lda,0.9,0.5512979055258467,0.551747661122661,0.5293097565730838,0.03514871728857237
combined,1e-05,8,logistic,0.01,0.5414577762923352,0.5340111746361746,0.5408707943404635,0.10144555759810922
combined,1e-05,8,logistic,0.1,0.5582469919786096,0.5496361746361746,0.5356868315508021,0.07510250778151766
combined,1e-05,8,logistic,1.0,0.5155108065953654,0.5062207640332641,0.5219759636809269,0.06811338817313325
combined,1e-05,8,logistic,10.0,0.5233233065953654,0.5140332640332641,0.5159752395276292,0.07219054048849115
combined,1e-05,8,svm,0.01,0.577423128342246,0.5670640592515592,0.5415023395721925,0.08451391145569703
combined,1e-05,8,svm,0.1,0.5238441399286988,0.5158361486486487,0.522024356617647,0.06712068807643076
combined,1e-05,8,svm,1.0,0.5306762477718361,0.5218457640332641,0.5131900345365419,0.06084138873662288
combined,1e-05,8,svm,10.0,0.5380291889483066,0.5286025207900208,0.5086891432709447,0.07244578493686178
combined,1e-05,8,lda,0.1,0.5499136586452763,0.5410765332640333,0.5191354027406417,0.04652213296220666
combined,1e-05,8,lda,0.5,0.5503732174688057,0.5428794178794178,0.5447255180481283,0.08180261671529365
combined,1e-05,8,lda,0.9,0.5488107174688057,0.5418236746361746,0.5330575980392157,0.08816024611657092
combined,1e-05,12,logistic,0.01,0.5576036096256685,0.5496361746361746,0.5346204461898396,0.08559739065466561
combined,1e-05,12,logistic,0.1,0.5654773841354723,0.558195816008316,0.531564031862745,0.10277796564845149
combined,1e-05,12,logistic,1.0,0.4956912878787879,0.4887928794178794,0.5141067151292334,0.08360491613895148
combined,1e-05,12,logistic,10.0,0.4985127005347594,0.49480249480249483,0.5145039549910873,0.09361244577308946
combined,1e-05,12,svm,0.01,0.5692791889483066,0.5642054313929314,0.538226242201426,0.07905193703244771
combined,1e-05,12,svm,0.1,0.5113775623885918,0.5062207640332641,0.5185630431149733,0.0676592390998779
combined,1e-05,12,svm,1.0,0.4985127005347594,0.49480249480249483,0.5132339015151515,0.09361244577308946
combined,1e-05,12,svm,10.0,0.5225323083778965,0.5207900207900208,0.5093976297905526,0.08677264270983572
combined,1e-05,12,lda,0.1,0.5374470811051694,0.5304054054054054,0.5189456606506239,0.06529648005769925
combined,1e-05,12,lda,0.5,0.588455325311943,0.581633316008316,0.5425673323306596,0.08643499913546748
combined,1e-05,12,lda,0.9,0.5609458556149733,0.5545900467775468,0.5358052027629233,0.07688720246999688
combined,1e-05,15,logistic,0.01,0.5576036096256685,0.5496361746361746,0.5387832831996435,0.08559739065466561
combined,1e-05,15,logistic,0.1,0.5545733065953654,0.5485804313929314,0.5282440675133689,0.10590172159048332
combined,1e-05,15,logistic,1.0,0.4883383467023173,0.4830918659043659,0.4953048406862745,0.05233192892047961
combined,1e-05,15,logistic,10.0,0.47841466131907306,0.47739085239085244,0.48323968081550805,0.05903705510770321
combined,1e-05,15,svm,0.01,0.5770916889483066,0.5720179313929314,0.5337253509358288,0.07970016480843914
combined,1e-05,15,svm,0.1,0.4883383467023173,0.4830918659043659,0.5025018103832442,0.05233192892047961
combined,1e-05,15,svm,1.0,0.4721646613190731,0.47063409563409564,0.48192123440285206,0.06061373684118945
combined,1e-05,15,svm,10.0,0.48877005347593583,0.48911772349272353,0.4776100852272727,0.09332029621658094
combined,1e-05,15,lda,0.1,0.5041471702317291,0.49766112266112267,0.5049935243983957,0.05562215033691606
combined,1e-05,15,lda,0.5,0.5916750222816399,0.5883900727650728,0.5385604668003565,0.09139555129402666
combined,1e-05,15,lda,0.9,0.5609458556149733,0.5545900467775468,0.541394064728164,0.07688720246999688
source,0.001,6,logistic,0.01,0.4949810606060606,0.4856418918918919,0.5066799660204991,0.0682617749472721
source,0.001,6,logistic,0.1,0.5091382575757576,0.5030697765072765,0.48225928865864526,0.09257991108342745
source,0.001,6,logistic,1.0,0.4739109848484848,0.47032549376299376,0.45337845365418894,0.07212732755014176
source,0.001,6,logistic,10.0,0.45874554367201426,0.455756237006237,0.45067854556595366,0.05855425474513722
source,0.001,6,svm,0.01,0.5121685606060606,0.5030697765072765,0.48602488580659536,0.09512181462672202
source,0.001,6,svm,0.1,0.4739109848484848,0.47032549376299376,0.45714022114527625,0.07212732755014176
source,0.001,6,svm,1.0,0.45041221033868095,0.4461408523908524,0.45214913380124777,0.05827240716170346
source,0.001,6,svm,10.0,0.45041221033868095,0.4461408523908524,0.45038888424688056,0.05827240716170346
source,0.001,6,lda,0.1,0.5039911987522282,0.4963130197505198,0.46282969864081996,0.08862145491939427
source,0.001,6,lda,0.5,0.5273952762923351,0.5186947765072765,0.49745919674688055,0.054037423783781076
source,0.001,6,lda,0.9,0.49387811942959003,0.48744477650727647,0.509335310828877,0.0870682089571324
source,0.001,12,logistic,0.01,0.5301275623885918,0.5247043918918919,0.50103122214795,0.02862140667726271
source,0.001,12,logistic,0.1,0.5270304144385027,0.5186947765072765,0.46614652963458114,0.06420086774772518
source,0.001,12,logistic,1.0,0.4972203654188948,0.4888091216216216,0.4412279968805704,0.06937796975129037
source,0.001,12,logistic,10.0,0.4633383467023173,0.4568119802494803,0.439025944184492,0.06663145094401746
