outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,combined,1e-05,8,svm,10.0,34,0.5294117647058824,0.5678571428571428,0.5228070175438597,0.5464285714285715,0.35,0.7857142857142857,7,13,3,11
cross_A_to_B,0,combined,1e-05,8,lda,0.1,34,0.5588235294117647,0.5928571428571429,0.5553618134263296,0.5285714285714286,0.4,0.7857142857142857,8,12,3,11
cross_A_to_B,0,combined,1e-05,8,lda,0.5,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.55,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,8,lda,0.9,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5642857142857143,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,12,logistic,0.01,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5678571428571428,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,12,logistic,0.1,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5535714285714286,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,1e-05,12,logistic,1.0,34,0.6176470588235294,0.6535714285714286,0.6146469049694856,0.6142857142857143,0.45,0.8571428571428571,9,11,2,12
cross_A_to_B,0,combined,1e-05,12,logistic,10.0,34,0.5588235294117647,0.5714285714285714,0.5584415584415584,0.5964285714285714,0.5,0.6428571428571429,10,10,5,9
cross_A_to_B,0,combined,1e-05,12,svm,0.01,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5535714285714286,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,1e-05,12,svm,0.1,34,0.5882352941176471,0.6178571428571429,0.5868055555555556,0.6142857142857143,0.45,0.7857142857142857,9,11,3,11
cross_A_to_B,0,combined,1e-05,12,svm,1.0,34,0.5294117647058824,0.5357142857142857,0.5277777777777778,0.5928571428571429,0.5,0.5714285714285714,10,10,6,8
cross_A_to_B,0,combined,1e-05,12,svm,10.0,34,0.5294117647058824,0.525,0.5228070175438597,0.5785714285714285,0.55,0.5,11,9,7,7
