scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.5279750386996904,0.5293112714987716,0.575281782120743,0.015106288985768466
erp,0.0,8,logistic,0.1,0.5358488132094943,0.5381795147420148,0.6014107246517028,0.04495891457593962
erp,0.0,8,logistic,1.0,0.5278379772961816,0.5297847563472564,0.5817816312380215,0.04961753093426176
erp,0.0,8,logistic,10.0,0.532985036119711,0.5365415131040131,0.5595335708296476,0.05048861405301669
erp,0.0,8,svm,0.01,0.5358488132094943,0.5381795147420148,0.5993726849292348,0.04495891457593962
erp,0.0,8,svm,0.1,0.5344169246646027,0.537360513923014,0.5830032917772372,0.04376989541656996
erp,0.0,8,svm,1.0,0.525172536119711,0.5287290131040131,0.5688763498820582,0.0589951610429911
erp,0.0,8,svm,10.0,0.5189225361197111,0.5219722563472564,0.5514820484114699,0.05720059064083263
erp,0.0,8,lda,0.1,0.5409958720330237,0.5449362714987716,0.5890748815973758,0.04142425016043324
erp,0.0,8,lda,0.5,0.5490067079463364,0.5533310298935299,0.5994303889318886,0.05330115600666152
erp,0.0,8,lda,0.9,0.5169631339377856,0.5206797706797707,0.5637641610920684,0.03754393369736525
erp,0.0,15,logistic,0.01,0.5579302115583076,0.5603245290745291,0.5945747871517029,0.018510782192431807
erp,0.0,15,logistic,0.1,0.5580658908300162,0.5611435298935299,0.5997914420702491,0.049688480900613875
erp,0.0,15,logistic,1.0,0.533047692761315,0.5384162571662572,0.546998988740233,0.06560724107548097
erp,0.0,15,logistic,10.0,0.47563347707504056,0.48013923013923016,0.49082281761388763,0.07698453162064035
erp,0.0,15,svm,0.01,0.5658783908300162,0.5689560298935299,0.5936387671845054,0.04641574481701945
erp,0.0,15,svm,0.1,0.525235192761315,0.5306037571662572,0.5520573031844317,0.07236673480080708
erp,0.0,15,svm,1.0,0.49706204850361196,0.5022842444717445,0.49212939287557134,0.0867365695816993
erp,0.0,15,svm,10.0,0.47615431040837386,0.48013923013923016,0.4716337316176471,0.09738135250269353
erp,0.0,15,lda,0.1,0.5392976927613151,0.545173013923014,0.5749789800788736,0.06213489836104899
erp,0.0,15,lda,0.5,0.5881436127082412,0.5911010442260443,0.598750955974495,0.049596261915386054
erp,0.0,15,lda,0.9,0.542422692761315,0.545173013923014,0.5936506592768687,0.031298155439857235
source,1e-05,6,logistic,0.01,0.5523367241633496,0.5569205569205569,0.5405102254717677,0.059333519831852456
source,1e-05,6,logistic,0.1,0.49978738205808637,0.5014652436527437,0.4975257825169542,0.0515838263074102
