scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.4410195707070707,0.4371527777777778,0.46070030663780664,0.057478125265958406
erp,0.0,8,logistic,0.1,0.5283955627705628,0.5270867374727669,0.47754103535353537,0.058919918498990996
erp,0.0,8,logistic,1.0,0.49009740259740264,0.4817163671023965,0.5000834235209235,0.11175639286171399
erp,0.0,8,logistic,10.0,0.49783549783549785,0.49247685185185186,0.5185258838383838,0.07637968678690858
erp,0.0,8,svm,0.01,0.5180781024531025,0.5182938453159042,0.47519480519480517,0.06270600592473713
erp,0.0,8,svm,0.1,0.49843073593073595,0.4900497004357298,0.49457070707070705,0.10726530362524399
erp,0.0,8,svm,1.0,0.5061688311688312,0.5008101851851852,0.5167897727272728,0.07848397530416056
erp,0.0,8,svm,10.0,0.5249977453102453,0.5184027777777778,0.5257859848484848,0.06449808389534252
erp,0.0,8,lda,0.1,0.4797055375180375,0.4744247004357298,0.48957251082251085,0.08201463298247248
erp,0.0,8,lda,0.5,0.5120017135642136,0.5104813453159042,0.47647997835497835,0.05701625089113976
erp,0.0,8,lda,0.9,0.4371054292929293,0.4302662037037037,0.46130275974025975,0.07962448600215605
erp,0.0,15,logistic,0.01,0.47355925324675324,0.468984885620915,0.467369227994228,0.04531683559489774
erp,0.0,15,logistic,0.1,0.47199224386724387,0.47135076252723307,0.4717288961038961,0.03422172160125191
erp,0.0,15,logistic,1.0,0.5019818722943723,0.4919560185185185,0.49589466089466083,0.08851374506725516
erp,0.0,15,logistic,10.0,0.48082160894660897,0.47297794117647063,0.5021690115440115,0.107175730714514
erp,0.0,15,svm,0.01,0.47893668831168834,0.47916326252723307,0.4665255230880231,0.04665441407752617
erp,0.0,15,svm,0.1,0.5111832611832612,0.5002893518518519,0.49446293290043286,0.08552691002691522
erp,0.0,15,svm,1.0,0.5044327200577201,0.49699754901960785,0.5012959956709957,0.11307854868349915
erp,0.0,15,svm,10.0,0.4801519660894661,0.47408088235294116,0.5119209956709957,0.10606869486705586
erp,0.0,15,lda,0.1,0.4762085137085137,0.4684572440087146,0.49446518759018754,0.08510394907993275
erp,0.0,15,lda,0.5,0.4903003246753247,0.48842252178649237,0.4626948051948052,0.047035087385913804
erp,0.0,15,lda,0.9,0.4701862373737374,0.4684640522875817,0.47101190476190474,0.05934008459544364
source,1e-05,6,logistic,0.01,0.459476461038961,0.456583605664488,0.49692415223665226,0.08987222199097346
source,1e-05,6,logistic,0.1,0.5017383658008658,0.49726988017429197,0.5231331168831169,0.07510578460877348
source,1e-05,6,logistic,1.0,0.5164953102453103,0.5119757625272331,0.5484185606060606,0.05116313242940122
source,1e-05,6,logistic,10.0,0.5336873196248196,0.528587962962963,0.5485524891774892,0.03207280476392972
source,1e-05,6,svm,0.01,0.4928097943722944,0.48945738017429197,0.5256696428571428,0.06412098991638902
source,1e-05,6,svm,0.1,0.5164953102453103,0.5119757625272331,0.5455663780663781,0.05116313242940122
source,1e-05,6,svm,1.0,0.5267428751803752,0.520775462962963,0.5570878427128427,0.02286162657277929
source,1e-05,6,svm,10.0,0.5336873196248196,0.528587962962963,0.5552277236652237,0.03207280476392972
source,1e-05,6,lda,0.1,0.5176113816738817,0.5124353213507625,0.5381308621933623,0.07747880584325664
source,1e-05,6,lda,0.5,0.4761431277056277,0.47279071350762525,0.5112003968253969,0.05849415597239261
source,1e-05,6,lda,0.9,0.46780979437229436,0.4649169389978213,0.4938388347763347,0.08386354946681816
source,1e-05,12,logistic,0.01,0.49090007215007214,0.48986247276688455,0.49188221500721496,0.07268793251379273
source,1e-05,12,logistic,0.1,0.5139159451659452,0.5129561546840958,0.5388722041847043,0.06357683917009888
source,1e-05,12,logistic,1.0,0.5075667388167389,0.5046228213507625,0.5548106060606061,0.05890416161658483
source,1e-05,12,logistic,10.0,0.5237125721500722,0.5222154139433551,0.5513347763347763,0.0636820329958133
source,1e-05,12,svm,0.01,0.5139159451659452,0.5129561546840958,0.53712977994228,0.06357683917009888
source,1e-05,12,svm,0.1,0.5223236832611833,0.5193287037037038,0.5560457251082251,0.03803781793102915
source,1e-05,12,svm,1.0,0.5237125721500722,0.5222154139433551,0.5554108044733045,0.0636820329958133
source,1e-05,12,svm,10.0,0.5320459054834055,0.5305487472766884,0.5497840007215007,0.07271667303968003
source,1e-05,12,lda,0.1,0.5133951118326119,0.5115162037037038,0.5561859668109668,0.024425174308264415
source,1e-05,12,lda,0.5,0.47502705627705627,0.47279071350762525,0.5192095057720058,0.05401767927447696
source,1e-05,12,lda,0.9,0.47649034992784994,0.4737166394335512,0.484694715007215,0.0669442879573472
combined,1e-05,8,logistic,0.01,0.5127006673881673,0.5118600217864924,0.5132693001443002,0.07974718635248952
combined,1e-05,8,logistic,0.1,0.528772095959596,0.5266816448801743,0.5379915223665224,0.02686054378190812
combined,1e-05,8,logistic,1.0,0.52071158008658,0.5198563453159042,0.5508198051948052,0.04120486234285666
combined,1e-05,8,logistic,10.0,0.5435290404040404,0.5432938453159042,0.5539213564213564,0.018629728534710635
combined,1e-05,8,svm,0.01,0.528772095959596,0.5271412037037038,0.5394232503607503,0.040270269102362276
combined,1e-05,8,svm,0.1,0.51289908008658,0.5110566448801743,0.551069173881674,0.024405080053355073
combined,1e-05,8,svm,1.0,0.534600468975469,0.5354813453159042,0.5550324675324676,0.019483293803970108
combined,1e-05,8,svm,10.0,0.5513415404040404,0.5525531045751634,0.550771103896104,0.012563329588303904
combined,1e-05,8,lda,0.1,0.51289908008658,0.5110566448801743,0.545690386002886,0.024405080053355073
combined,1e-05,8,lda,0.5,0.5195707070707071,0.5188078703703703,0.5282395382395383,0.042806102955772266
combined,1e-05,8,lda,0.9,0.5057562229437229,0.5045070806100218,0.5014006132756132,0.0850753512516425
combined,1e-05,12,logistic,0.01,0.5088023088023088,0.510474537037037,0.5231074134199134,0.0567094977381748
combined,1e-05,12,logistic,0.1,0.5218276515151515,0.5193287037037038,0.5447343975468976,0.028358464758264642
combined,1e-05,12,logistic,1.0,0.52071158008658,0.5203159041394335,0.5367090548340548,0.019835848963222272
combined,1e-05,12,logistic,10.0,0.52852408008658,0.5295751633986928,0.5469656385281385,0.02606904535599381
combined,1e-05,12,svm,0.01,0.5218276515151515,0.5193287037037038,0.5441869588744589,0.028358464758264642
combined,1e-05,12,svm,0.1,0.5276560245310246,0.5281284041394335,0.5361566558441558,0.007472749834161679
combined,1e-05,12,svm,1.0,0.52852408008658,0.5295751633986928,0.5527263708513709,0.02606904535599381
combined,1e-05,12,svm,10.0,0.5411187770562771,0.5452614379084968,0.5384893578643578,0.035017239734662337
combined,1e-05,12,lda,0.1,0.5354685245310246,0.5354813453159042,0.5391743326118327,0.021146987184559273
combined,1e-05,12,lda,0.5,0.4968276515151515,0.4943287037037037,0.5438825757575758,0.05037020020706967
combined,1e-05,12,lda,0.9,0.5018578643578644,0.5031215958605665,0.5195774711399712,0.059765157799885615
combined,1e-05,15,logistic,0.01,0.5088023088023088,0.510474537037037,0.5224246933621934,0.0567094977381748
combined,1e-05,15,logistic,0.1,0.5218276515151515,0.5193287037037038,0.5495657467532468,0.028358464758264642
combined,1e-05,15,logistic,1.0,0.5385687229437229,0.5359409041394335,0.5371599927849927,0.017457847530761114
combined,1e-05,15,logistic,10.0,0.5380478896103896,0.5373263888888888,0.5421816378066378,0.042822842774703024
combined,1e-05,15,svm,0.01,0.5218276515151515,0.5193287037037038,0.5483933080808081,0.028358464758264642
combined,1e-05,15,svm,0.1,0.5296401515151515,0.5281284041394335,0.538147095959596,0.005499192779774722
combined,1e-05,15,svm,1.0,0.5311034451659451,0.5295138888888888,0.5508360389610389,0.03226616494840348
combined,1e-05,15,svm,10.0,0.5876758658008658,0.5862370642701525,0.5594976551226551,0.03740985045904155
combined,1e-05,15,lda,0.1,0.5374526515151515,0.5354813453159042,0.5425965007215007,0.019500210749966246
combined,1e-05,15,lda,0.5,0.5051609848484848,0.502662037037037,0.5440679112554112,0.03746932075969901
combined,1e-05,15,lda,0.9,0.5088023088023088,0.510474537037037,0.5243574134199135,0.0567094977381748
source,0.001,6,logistic,0.01,0.4949878246753247,0.49288875272331156,0.5382751623376623,0.07258491958941513
source,0.001,6,logistic,0.1,0.5388167388167389,0.5354813453159042,0.5539321789321789,0.014053406783811784
source,0.001,6,logistic,1.0,0.5388167388167389,0.5340345860566449,0.5632931998556998,0.03532284674974528
source,0.001,6,logistic,10.0,0.5388167388167389,0.5340345860566449,0.5567821067821068,0.03532284674974528
source,0.001,6,svm,0.01,0.5388167388167389,0.5354813453159042,0.5567843614718615,0.014053406783811784
source,0.001,6,svm,0.1,0.5388167388167389,0.5340345860566449,0.5639646464646465,0.03532284674974528
source,0.001,6,svm,1.0,0.5388167388167389,0.5340345860566449,0.5648777958152958,0.03532284674974528
source,0.001,6,svm,10.0,0.5388167388167389,0.5340345860566449,0.5631416847041847,0.03532284674974528
source,0.001,6,lda,0.1,0.5388167388167389,0.5335750272331155,0.5630564574314574,0.039146678886216035
source,0.001,6,lda,0.5,0.5377750721500721,0.5354268790849673,0.5503869047619048,0.05085085722012851
source,0.001,6,lda,0.9,0.4963767135642136,0.4938691448801743,0.5380983946608947,0.050958855422865205
source,0.001,12,logistic,0.01,0.5230181277056277,0.5211805555555555,0.5395689033189033,0.04832998064080474
source,0.001,12,logistic,0.1,0.5462820165945166,0.5438146786492375,0.5662328643578644,0.01835700163696965
source,0.001,12,logistic,1.0,0.5379486832611833,0.5335750272331155,0.5660840548340549,0.037741109226918416
source,0.001,12,logistic,10.0,0.5462820165945166,0.5438146786492375,0.5690453643578643,0.01835700163696965
source,0.001,12,svm,0.01,0.5471500721500722,0.5438146786492375,0.5669818722943722,0.018799536292746062
source,0.001,12,svm,0.1,0.5379486832611833,0.5335750272331155,0.5670761183261184,0.037741109226918416
source,0.001,12,svm,1.0,0.5462820165945166,0.5419083605664488,0.5726366341991342,0.03999507184299045
source,0.001,12,svm,10.0,0.5546153499278499,0.5502416938997822,0.570414411976912,0.0482739657924362
source,0.001,12,lda,0.1,0.5448931277056277,0.5413875272331155,0.5705997474747475,0.04150767636342372
source,0.001,12,lda,0.5,0.5160736832611833,0.5114617374727669,0.5567500901875901,0.034039884198548344
source,0.001,12,lda,0.9,0.5060042388167388,0.5035879629629629,0.5339935064935065,0.057535110956926594
combined,0.001,8,logistic,0.01,0.4926564754689755,0.49288194444444444,0.5415593434343434,0.07181565505001866
combined,0.001,8,logistic,0.1,0.520959595959596,0.5188691448801743,0.5598056457431457,0.019788016393682672
combined,0.001,8,logistic,1.0,0.526787968975469,0.5276688453159042,0.5597145562770562,0.027715973835901703
combined,0.001,8,logistic,10.0,0.534600468975469,0.5369281045751634,0.5512382756132757,0.030458463391449975
combined,0.001,8,svm,0.01,0.520959595959596,0.5188691448801743,0.5602340367965368,0.019788016393682672
combined,0.001,8,svm,0.1,0.518975468975469,0.5184095860566449,0.5636728896103896,0.03311968703319031
combined,0.001,8,svm,1.0,0.534600468975469,0.5369281045751634,0.5551966089466089,0.030458463391449975
combined,0.001,8,svm,10.0,0.534600468975469,0.5369281045751634,0.5540854978354979,0.030458463391449975
combined,0.001,8,lda,0.1,0.518975468975469,0.5184095860566449,0.5618903318903319,0.03311968703319031
