scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.4460190136660725,0.4545557950191571,0.3905466428995841,0.13080357683330307
erp,0.0,8,logistic,0.1,0.4416072489601901,0.44622246168582375,0.4082263814616756,0.1253257013892948
erp,0.0,8,logistic,1.0,0.4656268568033274,0.47162755427841635,0.43110814022578725,0.1404758676691831
erp,0.0,8,logistic,10.0,0.4634209744503862,0.4652618135376756,0.4271212121212121,0.12903461056427165
erp,0.0,8,svm,0.01,0.42494058229352344,0.43059746168582375,0.40788770053475937,0.11092879622220132
erp,0.0,8,svm,0.1,0.4531268568033274,0.4623682950191571,0.43193701723113487,0.1451738373659661
erp,0.0,8,svm,1.0,0.4634209744503862,0.4652618135376756,0.42463755199049313,0.12903461056427165
erp,0.0,8,svm,10.0,0.43842097445038625,0.4402618135376756,0.4187225193107546,0.11075596857831733
erp,0.0,8,lda,0.1,0.460479797979798,0.4701807950191571,0.43587938205585264,0.15398120199953053
erp,0.0,8,lda,0.5,0.43229352346999406,0.43840996168582375,0.4043464052287582,0.11632649345894194
erp,0.0,8,lda,0.9,0.4332664884135472,0.44622246168582375,0.38935828877005346,0.1292230900176422
erp,0.0,15,logistic,0.01,0.42699049316696375,0.4303639846743295,0.37473856209150325,0.08009411512891706
erp,0.0,15,logistic,0.1,0.4364601901366607,0.44622246168582375,0.4170261437908496,0.1272074476219026
erp,0.0,15,logistic,1.0,0.4656268568033274,0.47162755427841635,0.44111705288175873,0.1404758676691831
erp,0.0,15,logistic,10.0,0.4581105169340463,0.4641662675606641,0.48179144385026734,0.16712214666966746
erp,0.0,15,svm,0.01,0.4489601901366607,0.455481720945083,0.41122103386809267,0.12407786518104073
erp,0.0,15,svm,0.1,0.4582739156268568,0.46381505427841635,0.4362923351158645,0.13332788858495576
erp,0.0,15,svm,1.0,0.45075757575757575,0.4563537675606641,0.4832412358882947,0.16295943496836285
erp,0.0,15,svm,10.0,0.5331996434937611,0.5366119891443167,0.5329679144385027,0.1384325228728738
