scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.44768894300144296,0.44604086845466157,0.4546491702741703,0.058527160216136825
erp,0.0,8,logistic,0.1,0.46206935425685425,0.46264367816091956,0.4310358044733045,0.1048111237955713
erp,0.0,8,logistic,1.0,0.45199540043290043,0.454032379235219,0.4074111652236653,0.11593674068866139
erp,0.0,8,logistic,10.0,0.42076569264069263,0.42462061452933664,0.4268849206349207,0.06434890416492516
erp,0.0,8,svm,0.01,0.43326569264069265,0.43614303959131545,0.43750676406926403,0.11635013858497627
erp,0.0,8,svm,0.1,0.45199540043290043,0.454032379235219,0.40901424963924965,0.11593674068866139
erp,0.0,8,svm,1.0,0.43663870851370856,0.4393264968822778,0.42260326479076477,0.08055210243041135
erp,0.0,8,svm,10.0,0.4241387085137085,0.42588836300803845,0.4321631493506493,0.049423769588175404
erp,0.0,8,lda,0.1,0.47541711760461763,0.4725415070242657,0.41477498196248197,0.08601670066088277
erp,0.0,8,lda,0.5,0.4200712481962482,0.42016940875967246,0.4456146284271285,0.10651798078765752
erp,0.0,8,lda,0.9,0.44768894300144296,0.44604086845466157,0.46332972582972587,0.058527160216136825
erp,0.0,15,logistic,0.01,0.4941919191919192,0.4984129667192547,0.45543380230880226,0.037281485927193096
erp,0.0,15,logistic,0.1,0.4657895923520924,0.4645499962437082,0.4332950036075036,0.11324211190740126
erp,0.0,15,logistic,1.0,0.41295319264069263,0.417267673352866,0.4351213023088023,0.06739923166957143
erp,0.0,15,logistic,10.0,0.4234487734487734,0.42398204492524977,0.4602069805194805,0.0608563707782705
erp,0.0,15,svm,0.01,0.4646735209235209,0.46328224776500637,0.43337391774891776,0.08645735668366063
erp,0.0,15,svm,0.1,0.41295319264069263,0.417267673352866,0.43685741341991347,0.06739923166957143
erp,0.0,15,svm,1.0,0.4362215909090909,0.44059424536097963,0.4648133116883117,0.039390444590243004
erp,0.0,15,svm,10.0,0.4574562590187591,0.4571970550672376,0.4849567099567099,0.06994017299631389
erp,0.0,15,lda,0.1,0.43837932900432897,0.44059424536097963,0.42807765151515154,0.06510815828868763
erp,0.0,15,lda,0.5,0.4848124098124098,0.48851513785590867,0.43513933982683983,0.0796851196313839
erp,0.0,15,lda,0.9,0.4896780303030303,0.49043084666816916,0.457681727994228,0.04623030094928333
source,1e-05,6,logistic,0.01,0.511424512987013,0.5265569829464353,0.48830266955266954,0.0667818667682135
source,1e-05,6,logistic,0.1,0.511424512987013,0.5271955525505221,0.4920702561327561,0.07904769615724394
