scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
erp,0.0,8,logistic,0.01,0.4437950937950938,0.4515625,0.4515404040404041,0.0581689793491508
erp,0.0,8,logistic,0.1,0.45485209235209234,0.4572377873563218,0.45891414141414144,0.07330576041921451
erp,0.0,8,logistic,1.0,0.4282106782106782,0.4324712643678161,0.4601010101010101,0.08079197427609802
erp,0.0,8,logistic,10.0,0.46908369408369405,0.4730962643678161,0.4794011544011544,0.07976447451615863
erp,0.0,8,svm,0.01,0.46179653679653676,0.4650502873563218,0.46438672438672435,0.08491793767884125
erp,0.0,8,svm,0.1,0.4282106782106782,0.4324712643678161,0.46346681096681097,0.08079197427609802
erp,0.0,8,svm,1.0,0.4621392496392496,0.46447557471264367,0.4765728715728716,0.08914501524589115
erp,0.0,8,svm,10.0,0.4507756132756133,0.4558548850574713,0.4875468975468975,0.10663852870560368
erp,0.0,8,lda,0.1,0.4381854256854257,0.4413793103448276,0.4583549783549784,0.09771942441609498
erp,0.0,8,lda,0.5,0.4598124098124098,0.46585847701149424,0.4702453102453102,0.06973542418913724
erp,0.0,8,lda,0.9,0.4507395382395382,0.459375,0.4552958152958153,0.0513150660659226
erp,0.0,15,logistic,0.01,0.4215728715728716,0.42517959770114944,0.45032467532467535,0.03991205653374578
erp,0.0,15,logistic,0.1,0.4717712842712843,0.47476652298850575,0.4624062049062049,0.09902246940671956
erp,0.0,15,logistic,1.0,0.4492965367965368,0.44913793103448274,0.47349927849927853,0.0483565326821185
erp,0.0,15,logistic,10.0,0.47653318903318903,0.47338362068965517,0.4849494949494949,0.08590173116933134
erp,0.0,15,svm,0.01,0.46284271284271283,0.4661458333333333,0.46156565656565657,0.0909906526172576
erp,0.0,15,svm,0.1,0.4562409812409812,0.45695043103448274,0.46971139971139975,0.06135269552578955
erp,0.0,15,svm,1.0,0.47653318903318903,0.47338362068965517,0.48510101010101014,0.08590173116933134
erp,0.0,15,svm,10.0,0.4726190476190476,0.4650502873563218,0.5118181818181818,0.09364255735973266
erp,0.0,15,lda,0.1,0.4617965367965368,0.46585847701149424,0.46691919191919196,0.07642997370942517
erp,0.0,15,lda,0.5,0.44835858585858585,0.4494252873563218,0.4556998556998557,0.057214851784312765
erp,0.0,15,lda,0.9,0.4201839826839827,0.4254669540229885,0.442027417027417,0.06138509524324036
source,1e-05,6,logistic,0.01,0.5690656565656566,0.5665948275862069,0.5900685425685426,0.12478146390106397
source,1e-05,6,logistic,0.1,0.5617784992784993,0.5593570402298851,0.5757359307359307,0.16948341564587743
source,1e-05,6,logistic,1.0,0.5434704184704184,0.5421156609195402,0.5520526695526695,0.14575996193090635
source,1e-05,6,logistic,10.0,0.536525974025974,0.5343031609195402,0.5505194805194805,0.14438711153967568
source,1e-05,6,svm,0.01,0.5617784992784993,0.5593570402298851,0.5768470418470418,0.16948341564587743
source,1e-05,6,svm,0.1,0.5351370851370851,0.5337823275862069,0.5557215007215007,0.16184392877993098
source,1e-05,6,svm,1.0,0.5281926406926407,0.5259698275862069,0.5467640692640693,0.1601274735076418
source,1e-05,6,svm,10.0,0.5281926406926407,0.5259698275862069,0.545501443001443,0.1601274735076418
source,1e-05,6,lda,0.1,0.5420815295815296,0.5424030172413793,0.5579761904761904,0.16990837367367345
source,1e-05,6,lda,0.5,0.550414862914863,0.5507363505747126,0.5817460317460317,0.1541656371438013
source,1e-05,6,lda,0.9,0.5690656565656566,0.5665948275862069,0.5944264069264069,0.12478146390106397
source,1e-05,12,logistic,0.01,0.5618686868686869,0.5663613505747126,0.5824675324675325,0.15452262105479717
source,1e-05,12,logistic,0.1,0.533495670995671,0.5332076149425288,0.567564935064935,0.11392148926036329
source,1e-05,12,logistic,1.0,0.5487734487734488,0.5501616379310345,0.5487914862914863,0.10114093430299105
source,1e-05,12,logistic,10.0,0.5285714285714286,0.5407327586206896,0.5226370851370852,0.09052732547910668
source,1e-05,12,svm,0.01,0.5424242424242425,0.5410201149425288,0.5752597402597402,0.11956015138699139
source,1e-05,12,svm,0.1,0.5487734487734488,0.5501616379310345,0.5426623376623376,0.10114093430299105
source,1e-05,12,svm,1.0,0.5285714285714286,0.5407327586206896,0.5247727272727273,0.09052732547910668
source,1e-05,12,svm,10.0,0.5216269841269842,0.5321120689655172,0.5138636363636364,0.09115518229141899
source,1e-05,12,lda,0.1,0.5487734487734488,0.5501616379310345,0.547987012987013,0.10114093430299105
source,1e-05,12,lda,0.5,0.5424242424242425,0.5410201149425288,0.5745382395382396,0.11956015138699139
source,1e-05,12,lda,0.9,0.5518939393939394,0.5582614942528735,0.5751298701298702,0.1312129733281818
combined,1e-05,8,logistic,0.01,0.5546717171717171,0.5576867816091954,0.5578607503607503,0.09713822949291104
combined,1e-05,8,logistic,0.1,0.570995670995671,0.5741199712643679,0.5725,0.11654043614556249
combined,1e-05,8,logistic,1.0,0.5426226551226552,0.5425826149425288,0.5579112554112554,0.08780376983889653
combined,1e-05,8,logistic,10.0,0.5330988455988456,0.5352909482758621,0.5626226551226552,0.09713115536185535
combined,1e-05,8,svm,0.01,0.570995670995671,0.5741199712643679,0.5734054834054834,0.11654043614556249
combined,1e-05,8,svm,0.1,0.5426226551226552,0.5425826149425288,0.5604365079365079,0.08780376983889653
combined,1e-05,8,svm,1.0,0.5420274170274171,0.5431034482758621,0.5626226551226552,0.08687944279577947
combined,1e-05,8,svm,10.0,0.5247655122655123,0.5269576149425288,0.5648448773448773,0.10221432884827462
combined,1e-05,8,lda,0.1,0.5501623376623377,0.5498742816091954,0.5694877344877345,0.09866867062856892
combined,1e-05,8,lda,0.5,0.5768037518037518,0.5754489942528735,0.5756349206349206,0.0942449805584963
combined,1e-05,8,lda,0.9,0.5546717171717171,0.5576867816091954,0.5577417027417028,0.08697860773146732
combined,1e-05,12,logistic,0.01,0.5380050505050505,0.5410201149425288,0.5768975468975469,0.1262527773936569
combined,1e-05,12,logistic,0.1,0.570995670995671,0.5749281609195402,0.565508658008658,0.10283095644340584
combined,1e-05,12,logistic,1.0,0.5126082251082251,0.5181034482758621,0.5454184704184704,0.10552155250120981
combined,1e-05,12,logistic,10.0,0.4976731601731602,0.5005747126436781,0.5225613275613276,0.10608138807168842
combined,1e-05,12,svm,0.01,0.567965367965368,0.5746408045977012,0.5679148629148629,0.07266456770605964
combined,1e-05,12,svm,0.1,0.5126082251082251,0.5181034482758621,0.5451803751803752,0.10552155250120981
combined,1e-05,12,svm,1.0,0.4976731601731602,0.5005747126436781,0.5229834054834055,0.10608138807168842
combined,1e-05,12,svm,10.0,0.49126984126984125,0.5005747126436781,0.5221681096681097,0.07854104546270993
combined,1e-05,12,lda,0.1,0.5225829725829726,0.5262033045977011,0.5443722943722944,0.12022085743031308
combined,1e-05,12,lda,0.5,0.567965367965368,0.5746408045977012,0.5708910533910534,0.07266456770605964
combined,1e-05,12,lda,0.9,0.5532828282828283,0.5579741379310345,0.5661075036075036,0.11029814310654135
combined,1e-05,15,logistic,0.01,0.544949494949495,0.5496408045977011,0.5781926406926406,0.13503593574221143
combined,1e-05,15,logistic,0.1,0.5893037518037518,0.5913613505747126,0.5681854256854257,0.12227362472828829
combined,1e-05,15,logistic,1.0,0.5201479076479076,0.5253951149425288,0.5474350649350649,0.11719229079787172
combined,1e-05,15,logistic,10.0,0.511562049062049,0.5170079022988505,0.5379617604617605,0.11877934666823564
combined,1e-05,15,svm,0.01,0.5976370851370851,0.5996946839080459,0.5691774891774892,0.10845555671623944
combined,1e-05,15,svm,0.1,0.5201479076479076,0.5253951149425288,0.5462049062049061,0.11719229079787172
combined,1e-05,15,svm,1.0,0.5185064935064935,0.525628591954023,0.5348989898989899,0.09432139498740308
combined,1e-05,15,svm,10.0,0.5225649350649351,0.5326329022988505,0.5281601731601732,0.09448492717134634
combined,1e-05,15,lda,0.1,0.5284812409812409,0.5337284482758621,0.5520093795093794,0.10296172374335591
combined,1e-05,15,lda,0.5,0.567965367965368,0.5746408045977012,0.5658116883116884,0.07266456770605964
combined,1e-05,15,lda,0.9,0.5335858585858586,0.5410201149425288,0.5772005772005772,0.1393722839763888
source,0.001,6,logistic,0.01,0.5210858585858585,0.5242995689655172,0.5331890331890332,0.08345147731719187
source,0.001,6,logistic,0.1,0.513888888888889,0.524066091954023,0.5087265512265512,0.1275273360499196
source,0.001,6,logistic,1.0,0.498015873015873,0.5076329022988506,0.4923484848484848,0.11946321411879178
source,0.001,6,logistic,10.0,0.502435064935065,0.5076329022988506,0.49334054834054836,0.11926510044258452
source,0.001,6,svm,0.01,0.5069444444444444,0.5154454022988506,0.5115223665223665,0.12221413488561877
source,0.001,6,svm,0.1,0.48273809523809524,0.49148706896551725,0.4926515151515151,0.1296705400065169
source,0.001,6,svm,1.0,0.48273809523809524,0.4906788793103448,0.4898556998556999,0.1358105523558256
source,0.001,6,svm,10.0,0.48273809523809524,0.4906788793103448,0.4888636363636364,0.1358105523558256
source,0.001,6,lda,0.1,0.48273809523809524,0.49148706896551725,0.49376262626262624,0.1296705400065169
source,0.001,6,lda,0.5,0.5113636363636364,0.5154454022988506,0.5189141414141414,0.12292732859774763
source,0.001,6,lda,0.9,0.53001443001443,0.5321120689655172,0.5285606060606061,0.09362216270480474
source,0.001,12,logistic,0.01,0.4906204906204906,0.49820402298850575,0.5078823953823954,0.14382316550606575
source,0.001,12,logistic,0.1,0.5102272727272728,0.5073455459770115,0.511046176046176,0.09911125574939926
source,0.001,12,logistic,1.0,0.5374098124098124,0.5415409482758621,0.5060137085137085,0.09205641437447953
source,0.001,12,logistic,10.0,0.5285714285714286,0.5407327586206897,0.49624458874458877,0.09773101243889797
source,0.001,12,svm,0.01,0.4963383838383838,0.4909123563218391,0.5092424242424243,0.09216802723115329
source,0.001,12,svm,0.1,0.5374098124098124,0.5415409482758621,0.4972077922077922,0.09205641437447953
source,0.001,12,svm,1.0,0.5241522366522366,0.5407327586206896,0.4960930735930736,0.08767832749061284
source,0.001,12,svm,10.0,0.5088744588744589,0.5237787356321839,0.48557359307359305,0.10296658781729053
source,0.001,12,lda,0.1,0.5304653679653679,0.5329202586206896,0.5056277056277056,0.08894029998095146
source,0.001,12,lda,0.5,0.48253968253968255,0.48148347701149424,0.5045815295815296,0.11364493733737392
source,0.001,12,lda,0.9,0.494534632034632,0.5057291666666667,0.5073989898989899,0.13177927578801343
combined,0.001,8,logistic,0.01,0.49722222222222223,0.4981501436781609,0.49364718614718617,0.06934290096685108
combined,0.001,8,logistic,0.1,0.4843253968253968,0.4903376436781609,0.5087987012987013,0.05012242109567638
combined,0.001,8,logistic,1.0,0.4857142857142857,0.49085847701149427,0.5059632034632034,0.03355503276804124
combined,0.001,8,logistic,10.0,0.49404761904761907,0.5,0.5182503607503608,0.022047130722362945
combined,0.001,8,svm,0.01,0.4843253968253968,0.4903376436781609,0.510093795093795,0.05012242109567638
combined,0.001,8,svm,0.1,0.47738095238095235,0.4825251436781609,0.5072258297258296,0.04274340212386611
combined,0.001,8,svm,1.0,0.4857142857142857,0.4916666666666667,0.5182503607503608,0.025131227956301797
combined,0.001,8,svm,10.0,0.4857142857142857,0.4916666666666667,0.5219733044733044,0.025131227956301797
combined,0.001,8,lda,0.1,0.4843253968253968,0.49114583333333334,0.504011544011544,0.0387748913452832
combined,0.001,8,lda,0.5,0.5129509379509379,0.5151041666666667,0.5116594516594517,0.06374589875648981
combined,0.001,8,lda,0.9,0.49722222222222223,0.4981501436781609,0.49662337662337663,0.06934290096685108
combined,0.001,12,logistic,0.01,0.4672077922077922,0.4736709770114943,0.5147582972582972,0.08348517864980964
combined,0.001,12,logistic,0.1,0.5046176046176046,0.5067708333333334,0.497929292929293,0.07327930640994851
combined,0.001,12,logistic,1.0,0.4873556998556998,0.4914331896551724,0.48971139971139976,0.06962165130474456
combined,0.001,12,logistic,10.0,0.4501443001443002,0.45827945402298853,0.47809884559884563,0.037411557561305576
combined,0.001,12,svm,0.01,0.5129509379509379,0.5151041666666667,0.49892135642135643,0.06374589875648981
combined,0.001,12,svm,0.1,0.4873556998556998,0.4914331896551724,0.48496392496392493,0.06962165130474456
combined,0.001,12,svm,1.0,0.4431998556998557,0.4496587643678161,0.4838708513708514,0.023994672354371763
combined,0.001,12,svm,10.0,0.47296176046176047,0.48171695402298853,0.48023088023088023,0.043186720331189615
combined,0.001,12,lda,0.1,0.4879509379509379,0.4909123563218391,0.48265512265512267,0.089325344303066
combined,0.001,12,lda,0.5,0.49767316017316016,0.49895833333333334,0.5030411255411256,0.06632498805849349
combined,0.001,12,lda,0.9,0.48943001443001444,0.4992456896551724,0.5084776334776335,0.07303862431123989
combined,0.001,15,logistic,0.01,0.47415223665223666,0.4814834770114943,0.5221248196248196,0.093014910692798
combined,0.001,15,logistic,0.1,0.511562049062049,0.5145833333333334,0.5004545454545455,0.08201531517968301
combined,0.001,15,logistic,1.0,0.4746031746031746,0.4830998563218391,0.49458513708513707,0.07246968649780865
combined,0.001,15,logistic,10.0,0.47494588744588745,0.48171695402298853,0.477507215007215,0.056750985253791485
combined,0.001,15,svm,0.01,0.5198953823953824,0.5229166666666667,0.501446608946609,0.07256634065955064
combined,0.001,15,svm,0.1,0.4746031746031746,0.4822916666666667,0.493625541125541,0.07580380641210167
combined,0.001,15,svm,1.0,0.48883477633477634,0.49895833333333334,0.4737518037518037,0.04495381351642263
combined,0.001,15,svm,10.0,0.46114718614718614,0.4730962643678161,0.47419913419913423,0.05943150246465198
combined,0.001,15,lda,0.1,0.48596681096681094,0.4909123563218391,0.48842712842712843,0.08786951687555683
combined,0.001,15,lda,0.5,0.5198953823953824,0.5229166666666667,0.5068290043290044,0.07256634065955064
combined,0.001,15,lda,0.9,0.4697330447330447,0.48148347701149424,0.5157828282828283,0.08553190465115112
source,0.03,6,logistic,0.01,0.5367063492063492,0.5406788793103449,0.5176623376623377,0.03888009223352305
source,0.03,6,logistic,0.1,0.5461399711399711,0.5401580459770114,0.495995670995671,0.06558388642883643
source,0.03,6,logistic,1.0,0.5325036075036075,0.5229705459770115,0.47625901875901877,0.1208088486713152
source,0.03,6,logistic,10.0,0.5128066378066378,0.5060165229885057,0.4734632034632035,0.13319409454158768
source,0.03,6,svm,0.01,0.5461399711399711,0.5401580459770114,0.4971067821067821,0.06558388642883643
source,0.03,6,svm,0.1,0.5325036075036075,0.5229705459770115,0.47151154401154405,0.1208088486713152
source,0.03,6,svm,1.0,0.5241702741702742,0.5146372126436781,0.47475829725829727,0.1362270936598096
source,0.03,6,svm,10.0,0.5241702741702742,0.5146372126436781,0.4760209235209235,0.1362270936598096
source,0.03,6,lda,0.1,0.5255591630591631,0.5151580459770115,0.4716305916305916,0.11190905508508378
source,0.03,6,lda,0.5,0.56002886002886,0.5573994252873563,0.5021572871572871,0.07234998758463035
source,0.03,6,lda,0.9,0.5367063492063492,0.5406788793103449,0.521417748917749,0.03888009223352305
source,0.03,12,logistic,0.01,0.5375541125541126,0.5410201149425288,0.5051984126984127,0.11650745902134306
source,0.03,12,logistic,0.1,0.56002886002886,0.5573994252873563,0.49302669552669554,0.06732801548169827
source,0.03,12,logistic,1.0,0.5181096681096682,0.5148706896551725,0.4890223665223665,0.09393459120045192
source,0.03,12,logistic,10.0,0.5206349206349206,0.5234913793103448,0.4856565656565657,0.09870824272566917
source,0.03,12,svm,0.01,0.56002886002886,0.5573994252873563,0.49792568542568544,0.06732801548169827
source,0.03,12,svm,0.1,0.5364177489177488,0.5321120689655172,0.49142857142857144,0.09664277730914034
